negative.|3733
negative.|1442
negative.|2965
negative.|806
negative.|2807
negative.|3434
negative.|1595
negative.|1367
negative.|1787
negative.|2534
negative.|1485
negative.|3448
negative.|1027
negative.|3331
negative.|2043
negative.|3169
negative.|2755
negative.|1010
negative.|803
negative.|2297
negative.|3564
negative.|152
negative.|936
negative.|716
negative.|1933
negative.|3445
negative.|3724
increased binding protein.|185
negative.|1966
negative.|466
negative.|1091
negative.|583
negative.|2137
negative.|1400
negative.|1815
negative.|3659
negative.|2797
negative.|3317
negative.|1566
negative.|1821
negative.|2427
negative.|1433
negative.|1632
negative.|563
negative.|1382
negative.|303
negative.|1428
negative.|3491
negative.|1873
negative.|2601
negative.|2235
negative.|1172
negative.|525
negative.|1690
negative.|3469
increased binding protein.|942
negative.|3266
negative.|251
negative.|2691
negative.|822
negative.|3007
negative.|2810
negative.|3038
negative.|694
negative.|1959
negative.|895
negative.|2074
negative.|2296
negative.|472
negative.|2739
negative.|2927
negative.|1806
negative.|744
negative.|3588
negative.|3164
negative.|962
negative.|3117
negative.|560
negative.|2210
negative.|3345
negative.|2390
negative.|3703
negative.|1337
negative.|3295
negative.|2609
negative.|2741
increased binding protein.|3656
negative.|704
negative.|2274
negative.|336
negative.|3057
negative.|987
negative.|1731
negative.|975
negative.|2653
increased binding protein.|343
negative.|3163
negative.|3615
negative.|3707
negative.|497
negative.|3237
negative.|1711
negative.|1970
negative.|1332
negative.|30
negative.|1581
negative.|2378
negative.|897
negative.|2532
negative.|356
negative.|689
negative.|2745
negative.|612
negative.|670
negative.|1826
negative.|1267
negative.|2373
negative.|3318
negative.|1555
negative.|3666
increased binding protein.|2668
negative.|3614
negative.|1134
negative.|64
negative.|1845
negative.|2363
increased binding protein.|3642
negative.|3189
negative.|2069
negative.|2190
increased binding protein.|3035
negative.|1916
negative.|3679
negative.|248
increased binding protein.|2394
negative.|412
negative.|1557
negative.|2789
negative.|2968
negative.|380
negative.|3320
negative.|3332
negative.|556
negative.|1701
negative.|225
negative.|864
negative.|3667
negative.|2446
negative.|3500
negative.|3431
negative.|849
negative.|2504
negative.|794
negative.|2763
negative.|603
negative.|3572
negative.|3313
negative.|3276
negative.|2355
negative.|1920
negative.|2348
negative.|339
negative.|3729
negative.|2859
negative.|1858
negative.|29
negative.|557
negative.|2663
negative.|376
negative.|3526
negative.|1297
negative.|3022
negative.|1844
negative.|2208
negative.|1776
negative.|227
negative.|1194
negative.|605
negative.|3229
negative.|3156
negative.|126
negative.|3094
negative.|1502
negative.|914
negative.|298
negative.|1480
negative.|1426
negative.|2366
negative.|2515
negative.|3725
negative.|2434
negative.|176
negative.|385
negative.|1652
negative.|2174
negative.|3339
negative.|1410
increased binding protein.|3207
negative.|3668
increased binding protein.|855
negative.|143
negative.|233
negative.|995
negative.|1603
negative.|1732
negative.|658
negative.|745
negative.|1898
negative.|3483
negative.|55
negative.|573
negative.|3409
negative.|2580
increased binding protein.|2318
negative.|3479
negative.|2464
negative.|1145
negative.|3330
negative.|3567
negative.|737
negative.|3064
negative.|3722
negative.|293
negative.|1669
negative.|3337
negative.|2499
negative.|1977
negative.|3367
negative.|2300
negative.|441
negative.|967
negative.|2178
negative.|2061
negative.|3634
increased binding protein.|2026
increased binding protein.|3305
negative.|2948
decreased binding protein.|2229
negative.|1059
negative.|3098
negative.|3523
negative.|2309
negative.|2818
negative.|3216
negative.|589
negative.|1116
negative.|244
negative.|3546
negative.|3299
increased binding protein.|1183
negative.|210
